variable,coef,SE,t,p_value
intercept,1.9667351677176044,0.2167738408183458,9.072751399767409,0.0
year_c,-0.1555801479390052,0.005758043084659213,-27.019622057623618,0.0
is_open_access,0.5307834397802771,0.21817891021607771,2.43278985697841,0.015050953032670567
has_digital,0.47678946161027524,0.0949688468135782,5.020482796281634,5.507807143700916e-07
has_social,0.4582630134800646,0.18054105825405778,2.5382758798012355,0.011198713911250602
