year,documents
2000,1
2001,3
2002,2
2003,4
2004,10
2005,5
2006,13
2007,13
2008,12
2009,23
2010,23
2011,30
2012,33
2013,46
2014,48
2015,61
2016,80
2017,76
2018,109
2019,149
2020,204
2021,307
2022,224
2023,245
2024,302
2025,546
